group,year,gini,theil
1304,4,0,0
1304,5,0,0
1304,6,0.252960078,0.101207914
1304,7,0.27561174,0.131034628
1304,8,0.244323112,0.098275179
1304,9,0.257252404,0.108196142
1304,10,0.220105243,0.07631597
1305,1,0,0
1305,2,0,0
1305,3,0,0
1305,4,0,0
1305,5,0,0
1305,6,0.263365492,0.115151558
1305,7,0.270371098,0.114356118
1305,8,0.268193016,0.111736886
1305,9,0.26820255,0.109341005
1305,10,0.24269773,0.092316088
1306,1,0,0
1306,2,0,0
1306,3,0,0
1306,4,0,0
1306,5,0,0
1306,6,0.193901121,0.036480324
1306,7,0.411658763,0.162164601
1306,8,0.171330784,0.022683478
1306,9,0.253966946,0.099633364
1306,10,0.193208072,0.037747105
1307,1,0,0
1307,2,0,0
1307,3,0,0
1307,4,0,0
1307,5,0,0
1307,6,0,0
1307,7,0,0
1307,8,0,0
1307,9,0,0
1307,10,0,0
1401,1,0.205247848,0.064981339
1401,2,0.240096344,0.088646469
1401,3,0.215016772,0.072011994
1401,4,0.267122291,0.109623551
1401,5,0.268955735,0.115904904
1401,6,0.230443894,0.084051012
1401,7,0.367055158,0.216606173
1401,8,0.263773002,0.117725445
1401,9,0.281457904,0.134428709
1401,10,0.307785624,0.158724431
1402,1,0.226676032,0.0791365
1402,2,0.240430112,NaN
1402,3,0.274273107,0.120046273
1402,4,0.261426261,0.110612943
1402,5,0.26585631,0.109067994
1402,6,0.253339722,0.106243232
1402,7,0.329016251,0.177075067
1402,8,0.280416528,0.140212738
1402,9,0.284947738,0.142009538
1402,10,0.272533458,0.127398345
1403,1,0.23744932,0.088446213
1403,2,0.232811576,NaN
1403,3,0.247598358,0.093067355
1403,4,0.228028508,0.085122737
1403,5,0.25600994,0.102670107
1403,6,0.274019658,0.119974603
1403,7,0.336508209,0.177760742
1403,8,0.276422148,0.126164595
1403,9,0.259728177,0.109585572
1403,10,0.271388051,0.122338836
1404,1,0.244718017,0.093685759
1404,2,0.269073308,NaN
1404,3,0.230980063,0.08429351
1404,4,0.245054996,0.094357409
1404,5,0.258465384,0.104444823
1404,6,0.257559011,0.106783527
1404,7,0.360651988,0.218507161
1404,8,0.292917951,0.13797846
1404,9,0.276831247,0.12213886
1404,10,0.289676746,0.137393235
1405,1,0.275102322,0.119980279
1405,2,0.288670684,0.134698968
1405,3,0.27179455,0.123188089
1405,4,0.256840047,0.108619802
1405,5,0.264891909,0.114056844
1405,6,0.29864886,0.154343727
1405,7,0.38639111,0.242329353
1405,8,0.326849947,0.1897728
1405,9,0.30721451,0.162812375
